SVC_REQUEST_NUMBER,WORKORDER_NUMBER,WORKORDER_ACTIVITY_CODE,WORKORDER_ACTIVITY_DESCRIPTION,WORKORDER_STARTED,WORKORDER_COMPLETED,WORKORDER_ADDED,TIME_STAMP
185415913,842469594,SA26,REPLACE MANHOLE CASTING,2020-01-25T00:20:00.000,2020-01-25T00:40:00.000,2016-05-30T09:00:19.000,2020-01-27T00:45:02.000
185677305,842809329,SA26,REPLACE MANHOLE CASTING,2019-11-01T21:00:00.000,2019-11-01T22:00:00.000,2017-12-15T08:29:42.000,2019-11-04T00:45:11.000
185785952,842969639,SA24,REPAIR BASIN-MAJOR,2022-10-08T10:45:00.000,2022-10-08T10:50:00.000,2018-09-30T10:05:08.000,2022-10-10T00:50:01.000
185857880,843078719,SMCR,REPLACE DAMAGED/MISSING COVER,2019-05-14T10:50:00.000,2019-05-14T11:45:00.000,2019-05-19T09:31:47.000,2019-05-20T00:45:09.000
1432457,1301968,SA25,REPAIR CONNECTION,2020-04-16T07:05:00.000,2020-04-16T07:15:00.000,2010-09-08T10:01:13.000,2020-04-28T00:45:05.000
185644592,842768355,SA26,REPLACE MANHOLE CASTING,2019-09-16T00:00:00.000,2019-09-16T00:00:00.000,2017-09-20T08:50:05.000,2019-09-17T00:45:09.000
185856231,843079693,SVAC,VACTOR SEWER,2019-05-11T07:00:00.000,2019-05-11T08:30:00.000,2019-05-20T13:56:52.000,2019-05-21T00:45:09.000
185799080,842944397,SA24,REPAIR BASIN-MAJOR,2019-05-02T17:20:00.000,2019-05-02T22:20:00.000,2018-08-11T15:36:59.000,2019-05-05T00:45:08.000
185694605,842964459,SRL,LINE SEWER (CONTRACTOR),,,2018-09-17T10:32:57.000,2019-07-02T00:45:13.000
1454110,1309976,SA25,REPAIR CONNECTION,,,2010-09-29T13:48:11.000,2019-11-10T00:45:07.000
185967037,843115796,SA12R,CAVE IN RESTORATION,2019-08-14T19:00:00.000,2019-08-14T21:00:00.000,2019-08-12T13:05:07.000,2019-08-18T00:45:07.000
185676855,842818955,SA12R,CAVE IN RESTORATION,2019-09-15T11:40:00.000,2019-09-15T11:45:00.000,2017-12-20T09:11:30.000,2019-09-25T00:45:09.000
186306842,843839805,SRB,REPAIR SEWER BREAK (CONTRACT.),,,2021-09-08T13:17:44.000,2021-09-09T00:45:02.000
1406024,1266029,SA25,REPAIR CONNECTION,2020-03-15T11:55:00.000,2020-03-15T12:05:00.000,2010-07-25T15:57:56.000,2020-03-16T00:45:02.000
1961489,1713331,SA24,REPAIR BASIN-MAJOR,,2019-11-04T00:00:00.000,2012-08-25T12:29:35.000,2019-11-06T00:45:11.000
186041733,843247532,WA12I,APPLY HOT PATCH,2020-07-15T12:35:00.000,2020-07-15T13:00:00.000,2020-04-01T17:20:47.000,2020-07-21T00:45:05.000
185907074,843086836,SMPC,POLE CAMERA,2019-05-20T08:45:00.000,2019-05-20T09:20:00.000,2019-06-06T12:16:42.000,2019-06-07T00:45:10.000
185847272,843086787,SVAC,VACTOR SEWER,2019-05-08T07:00:00.000,2019-05-08T15:30:00.000,2019-06-06T09:44:58.000,2019-06-16T00:45:01.000
185592134,842955121,SRL,LINE SEWER (CONTRACTOR),2020-01-25T00:00:00.000,2020-02-03T00:00:00.000,2018-09-03T15:23:10.000,2020-03-05T00:45:02.000
186040864,843168041,WA03,INSTALL TOP SECTION,2020-01-06T17:15:00.000,2020-01-06T17:00:00.000,2019-11-17T11:38:13.000,2020-01-13T00:45:02.000
185722182,842878660,SA23,REPAIR BASIN-MINOR,2019-07-11T13:00:00.000,2019-07-11T14:00:00.000,2018-04-16T13:41:02.000,2019-07-15T00:45:06.000
